Date,Town,State/Province,Latitude,Longitude,Number
1/1/2020,Santa Cruz,CA,37,-122,1
1/4/2020,Tucson,AZ,32.3,-110.9,1
1/4/2020,San Antonio,TX,29.5,-98.5,2
1/4/2020,San Antonio,TX,29.5,-98.5,1
1/5/2020,Corpus Christi,TX,27.8,-97.4,1
1/5/2020,League City,TX,29.5,-95,4
1/6/2020,Laguna Niguel,CA,33.6,-117.7,1
1/6/2020,Destin,FL,30.4,-86.4,1
1/6/2020,Hollywood,FL,26,-80.4,2
1/6/2020,Pass Christian,MS,30.3,-89.2,1
1/7/2020,Missouri City,TX,29.6,-95.6,5
1/8/2020,Clearwater,FL,28,-82.8,1
1/8/2020,Pass Christian,MS,30.3,-89.2,1
1/10/2020,Laguna Niguel,CA,33.6,-117.7,1
1/10/2020,Corpus Christi,TX,27.8,-97.4,1
1/11/2020,Charleston,SC,32.8,-80,1
1/12/2020,Clearwater,FL,28,-82.8,1
1/12/2020,Pass Christian,MS,30.3,-89.2,1
1/12/2020,Virginia Beach,VA,36.9,-76.1,1
1/13/2020,Foley,AL,30.4,-87.7,1
1/13/2020,Fernandina Beach,FL,30.6,-81.5,1
1/13/2020,Ruskin,FL,27.7,-82.4,1
1/13/2020,Savannah,GA,31.9,-81.1,2
1/14/2020,Long Beach,MS,30.4,-89.2,1
1/14/2020,Pass Christian,MS,30.3,-89.2,1
1/14/2020,Corpus Christi,TX,27.8,-97.4,2
1/14/2020,Port O Connor,TX,28.5,-96.4,1
1/15/2020,Pass Christian,MS,30.3,-89.2,2
1/15/2020,Spring,TX,30.1,-95.5,1
1/15/2020,Victoria,TX,28.7,-96.9,1
1/15/2020,Victoria,TX,28.8,-97,1
1/16/2020,Savannah,GA,32,-81.1,1
1/16/2020,Pass Christian,MS,30.3,-89.2,1
1/16/2020,Houston,TX,29.9,-95.7,1
1/17/2020,Tucson,AZ,32.2,-110.8,1
1/17/2020,Dade City,FL,28.4,-82.2,1
1/17/2020,Pass Christian,MS,30.3,-89.2,2
1/19/2020,Tempe,AZ,33.4,-111.9,1
1/19/2020,Fort Myers,FL,26.6,-81.9,1
1/19/2020,Port O Connor,TX,28.5,-96.4,1
1/20/2020,Corpus Christi,TX,27.7,-97.3,1
1/21/2020,Port Aransas,TX,27.8,-97.1,1
1/23/2020,Laguna Niguel,CA,33.5,-117.7,1
1/23/2020,Corpus Christi,TX,27.8,-97.4,1
1/23/2020,Corpus Christi,TX,27.7,-97.3,1
1/24/2020,Carlsbad,CA,33.1,-117.3,1
1/24/2020,Laguna Niguel,CA,33.5,-117.7,1
1/24/2020,Kemah,TX,29.5,-95,4
1/25/2020,Sunnyvale,CA,37.4,-122,1
1/25/2020,Pass Christian,MS,30.3,-89.2,1
1/26/2020,Corpus Christi,TX,27.8,-97.4,1
1/27/2020,Van Nuys,CA,34.2,-118.5,2
1/28/2020,Pass Christian,MS,30.3,-89.2,1
1/28/2020,Port O Connor,TX,28.5,-96.4,1
1/31/2020,Dade City,FL,28.4,-82.2,1
1/31/2020,Doss,TX,30.4,-99,2
1/31/2020,Port O Connor,TX,28.5,-96.4,2
2/1/2020,Capitola,CA,37,-122,1
2/1/2020,Bonita Springs,FL,26.3,-81.8,1
2/1/2020,Panama City,FL,30.2,-85.7,3
2/1/2020,Austin,TX,30.3,-97.8,1
2/1/2020,Corpus Christi,TX,27.8,-97.4,1
2/1/2020,South Padre Island,TX,26.1,-97.2,1
2/2/2020,Tucson,AZ,32.3,-110.8,1
2/2/2020,Long Beach,CA,33.8,-118.1,1
2/2/2020,Dunedin,FL,28,-82.8,4
2/2/2020,Puerto Morelos,ROO,20.9,-86.9,1
2/3/2020,Daphne,AL,30.6,-87.9,1
2/3/2020,Pass Christian,MS,30.3,-89.2,1
2/4/2020,Crawfordville,FL,30.1,-84.1,3
2/4/2020,Pass Christian,MS,30.3,-89.2,1
2/4/2020,San Antonio,TX,29.5,-98.5,1
2/4/2020,South Padre Island,TX,26.1,-97.2,1
2/5/2020,Key West,FL,24.5,-81.8,3
2/6/2020,Key West,FL,24.6,-81.8,2
2/6/2020,Vero Beach,FL,27.7,-80.4,1
2/6/2020,South Padre Island,TX,26.1,-97.2,1
2/6/2020,East End,US Virgin Islands,17.8,-64.7,1
2/7/2020,Key West,FL,24.6,-81.8,2
2/7/2020,Dickinson,TX,29.5,-95.1,1
2/8/2020,Apalachicola,FL,29.7,-85,7
2/8/2020,Saint Petersburg,FL,27.8,-82.7,1
2/8/2020,Corpus Christi,TX,27.8,-97.4,1
2/9/2020,Hilton Head Island,SC,32.2,-80.8,2
2/9/2020,Corpus Christi,TX,27.6,-97.2,1
2/9/2020,Port O Connor,TX,28.5,-96.4,1
2/10/2020,Interlachen,FL,29.6,-81.9,2
2/10/2020,Safety Harbor,FL,28,-82.7,1
2/10/2020,San Antonio,TX,29.5,-98.5,1
2/10/2020,Spring,TX,30,-95.5,2
2/11/2020,Merritt Island,FL,28.3,-80.7,2
2/11/2020,Sanibel,FL,26.4,-82,1
2/12/2020,Westminster,CA,33.8,-118,3
2/12/2020,Pass Christian,MS,30.3,-89.2,1
2/13/2020,Tucson,AZ,32.2,-111,2
2/13/2020,Whittier,CA,34,-118,1
2/13/2020,Saint Simons Island,GA,31.2,-81.4,1
2/13/2020,Mount Pleasant,SC,32.8,-79.9,1
2/13/2020,Houston,TX,29.9,-95.5,1
2/14/2020,Orange Beach,AL,30.3,-87.6,2
2/14/2020,Whittier,CA,34,-118,1
2/14/2020,Fort Lauderdale,FL,26.1,-80.1,1
2/14/2020,Jacksonville,FL,30.3,-81.7,1
2/14/2020,Vero Beach,FL,27.7,-80.4,1
2/14/2020,Kenner,LA,30,-90.3,1
2/14/2020,Brownsville,TX,25.9,-97.5,2
2/15/2020,Tucson,AZ,32.2,-110.8,1
2/15/2020,Fort Myers,FL,26.6,-81.9,1
2/15/2020,Miami,FL,26,-80.1,1
2/15/2020,Baton Rouge,LA,30.4,-91.2,1
2/15/2020,Corpus Christi,TX,27.8,-97.4,1
2/15/2020,Houston,TX,29.8,-95.5,1
2/15/2020,Palacios,TX,28.6,-96.1,3
2/16/2020,Corpus Christi,TX,27.7,-97.3,1
2/16/2020,Corpus Christi,TX,27.6,-97.2,1
2/17/2020,Gilroy,CA,37,-121.7,3
2/17/2020,Dunedin,FL,28,-82.8,1
2/18/2020,Mobile,AL,30.7,-88.1,1
2/18/2020,Carlsbad,CA,33.1,-117.3,1
2/18/2020,Hollywood,FL,26,-80.4,2
2/18/2020,Corpus Christi,TX,27.7,-97.3,1
2/18/2020,Mission,TX,26.2,-98.4,1
2/18/2020,Spring,TX,30.2,-95.5,2
2/19/2020,Santa Cruz,CA,37,-122,1
2/19/2020,De Leon Springs,FL,29.2,-81.3,1
