"","GeoFIPS","Year","All industry total"," Private industries","Ag","  Mining, quarrying, and oil and gas extraction","  Utilities","  Construction","  Manufacturing","   Durable goods manufacturing","   Nondurable goods manufacturing","  Wholesale trade","  Retail trade","  Transportation and warehousing","  Information","  Finance, insurance, real estate, rental, and leasing","   Finance and insurance","   Real estate and rental and leasing","  Professional and business services","   Professional, scientific, and technical services","   Management of companies and enterprises","   Administrative and support and waste management and remediation services","  Educational services, health care, and social assistance","   Educational services","   Health care and social assistance","  Arts, entertainment, recreation, accommodation, and food services","   Arts, entertainment, and recreation","   Accommodation and food services","  Other services (except government and government enterprises)","Government and government enterprises","Natural resources and mining","Trade","Transportation and utilities","Manufacturing and information","Private goods-producing industries 2/","Private services-providing industries 3/"
"1"," ""20001""",2001,331210,275203,6258,4652,973,15389,89030,51777,37252,9968,22143,NA,10816,39347,9495,29853,NA,NA,NA,1751,18041,NA,NA,37845,214,37631,9052,56007,10910,32111,NA,99846,115329,159874
"2"," ""20001""",2002,348548,289863,5792,5129,757,11095,99174,55947,43228,10371,22559,NA,11769,42564,11098,31466,NA,2827,NA,NA,19703,NA,NA,39971,221,39750,9533,58685,10921,32930,NA,110943,121190,168672
"3"," ""20001""",2003,366273,305066,10324,6163,702,9647,105324,59248,46076,13063,23474,NA,12311,42840,11068,31772,NA,2945,NA,NA,19212,NA,NA,40337,295,40042,9589,61207,16487,36537,NA,117635,131458,173608
"4"," ""20001""",2004,392934,328034,21367,7852,629,9149,113222,61920,51302,13455,24571,NA,10866,46330,9938,36392,NA,3216,NA,NA,18136,NA,NA,40770,368,40402,9054,64900,29218,38027,NA,124088,151589,176445
"5"," ""20001""",2005,374253,307139,7470,10195,934,9560,114162,65249,48913,15498,26409,NA,9898,47051,9362,37689,NA,3538,NA,NA,16957,NA,NA,25943,478,25465,9481,67113,17665,41907,NA,124061,141387,165752
"6"," ""20001""",2006,393908,323413,6277,17422,1048,11655,125628,63502,62126,16980,27670,NA,8801,51272,9233,42039,NA,4051,NA,NA,17242,NA,NA,15524,366,15158,9397,70496,23699,44650,NA,134428,160982,162430
"7"," ""20001""",2007,412728,337203,7792,21534,990,12942,123744,59257,64487,17694,30808,NA,8975,57340,10091,47248,NA,4416,NA,NA,17793,NA,NA,13759,261,13498,9544,75525,29325,48502,NA,132719,166012,171191
"8"," ""20001""",2008,448795,370398,21220,27214,1079,9067,137236,59716,77520,16091,30525,NA,8068,62618,11556,51062,NA,4654,NA,NA,19818,NA,NA,14281,370,13912,9391,78397,48434,46616,NA,145304,194738,175661
"9"," ""20001""",2009,467475,388391,43991,29388,1277,10387,118330,46371,71959,15227,33346,NA,8223,64637,10956,53681,NA,4344,NA,NA,22615,339,22276,18956,256,18700,9175,79085,73380,48573,NA,126553,202096,186295
"10"," ""20001""",2010,475342,396999,23400,24770,959,10015,147178,77869,69308,13880,31833,NA,8267,65738,9923,55816,NA,4296,NA,NA,22875,NA,NA,16914,235,16679,9285,78343,48170,45713,NA,155445,205363,191636
"11"," ""20001""",2011,502586,421627,14367,26248,1143,10107,178787,96286,82502,13574,33397,NA,7620,68149,10717,57432,NA,4312,NA,NA,22337,NA,NA,14619,205,14414,9423,80960,40616,46971,NA,186407,229510,192116
"12"," ""20001""",2012,531759,449919,21786,27408,943,12065,193498,104805,88693,14099,33069,NA,7541,70130,10963,59166,NA,4464,NA,NA,23487,NA,NA,14997,228,14769,9433,81840,49195,47168,NA,201039,254758,195161
"13"," ""20001""",2013,523132,435679,17374,25568,1120,14904,178520,93438,85081,16166,34746,NA,9904,69635,10778,58857,NA,4250,NA,NA,23648,390,23258,12328,NA,NA,9069,87452,42942,50912,NA,188423,236366,199314
"14"," ""20001""",2014,502306,414070,5275,20894,1292,11108,168052,81445,86608,15494,33410,NA,12021,76228,13383,62845,NA,4939,NA,NA,25813,478,25335,12325,NA,NA,9322,88236,26168,48904,NA,180073,205329,208741
"15"," ""20001""",2015,516214,429801,1575,15453,1381,10101,188737,90846,97891,14578,33672,NA,10663,79078,13539,65539,NA,4990,NA,NA,25874,352,25522,11703,NA,NA,10437,86413,17029,48249,NA,199400,215867,213934
"16"," ""20001""",2016,501520,417102,1447,12674,1304,11334,171414,89039,82375,12820,33576,NA,10698,88798,18158,70640,17741,5557,NA,NA,25868,297,25571,NA,NA,NA,9597,84419,14121,46397,NA,182112,196869,220233
"17"," ""20001""",2017,512351,428124,4177,14957,1364,11119,176290,88761,87529,11718,35283,NA,14309,82294,16156,66138,NA,5163,NA,NA,26465,292,26173,9848,NA,NA,10566,84227,19134,47001,NA,190599,206543,221581
"18"," ""20001""",2018,533094,447232,10079,14674,1445,11943,176678,87427,89250,14411,34933,NA,13553,86687,15155,71532,NA,5270,NA,NA,27495,224,27271,10950,NA,NA,10842,85862,24753,49344,NA,190231,213373,233859
"19"," ""20001""",2019,597148,509509,22354,14391,14257,24893,177121,90241,86880,15671,37079,NA,16589,97029,15060,81969,NA,6486,NA,NA,29037,NA,NA,11665,NA,NA,11440,87639,36745,52750,NA,193710,238759,270750
"20"," ""20003""",2001,127248,105879,13991,3226,48,7055,6166,NA,NA,5568,14478,7091,NA,21825,6048,15777,6318,1459,NA,NA,10215,NA,NA,2645,NA,NA,NA,21369,17216,20045,7139,NA,30437,75442
"21"," ""20003""",2002,135097,112620,13699,3509,21,7152,6327,NA,NA,5551,15831,7112,NA,25878,7668,18210,6142,1542,NA,NA,10807,NA,NA,2576,NA,NA,NA,22477,17208,21381,7133,NA,30686,81934
"22"," ""20003""",2003,137072,113870,14263,3700,6,6901,5927,NA,NA,5551,16791,7821,NA,25716,7672,18044,6421,1671,NA,NA,10822,NA,NA,2378,NA,NA,NA,23202,17963,22341,7827,NA,30792,83078
"23"," ""20003""",2004,142542,118111,22335,3775,8,8396,5918,NA,NA,5693,16623,7836,NA,24602,6685,17916,2410,1819,NA,NA,10933,NA,NA,2654,53,2601,NA,24431,26110,22316,7844,NA,40425,77686
"24"," ""20003""",2005,142328,117317,13722,3047,10,13212,8027,4903,3124,6019,17430,8460,NA,23404,6550,16854,2341,1777,NA,NA,11895,NA,NA,2596,NA,NA,NA,25011,16769,23448,8470,NA,38008,79309
"25"," ""20003""",2006,155287,129255,1224,3787,1,12094,20153,NA,NA,7641,17352,9578,1448,30502,6207,24295,2377,1796,NA,NA,12584,NA,NA,4152,NA,NA,6362,26032,5011,24994,9579,21601,37258,91997
"26"," ""20003""",2007,175700,148038,7559,3941,0,9981,26676,NA,NA,7947,18583,10027,1701,35168,NA,NA,2411,1832,NA,NA,14293,NA,NA,3660,NA,NA,6093,27662,11500,26530,10027,28376,48157,99881
"27"," ""20003""",2008,197815,169452,17518,5722,0,9689,34229,11667,22562,9983,19524,10308,1889,33570,NA,NA,2545,2071,NA,NA,15465,NA,NA,3407,15,3392,5602,28363,23241,29507,10308,36118,67158,102294
"28"," ""20003""",2009,205902,177898,24307,4506,NA,9605,32971,NA,NA,10041,21960,9524,1998,35167,NA,NA,NA,2349,NA,NA,16061,NA,NA,3026,1,3025,5843,28004,28813,32001,NA,34969,71390,106509
"29"," ""20003""",2010,194875,166480,7831,5531,0,11627,34703,5855,28848,7429,23857,9794,1498,34867,NA,NA,3094,2301,NA,NA,16076,NA,NA,3496,NA,NA,6680,28395,13362,31286,9794,36200,59692,106789
"30"," ""20003""",2011,217244,188836,23867,7324,0,14370,33757,7514,26243,8433,23554,9127,1641,37113,NA,NA,3158,2299,NA,NA,16407,NA,NA,3164,NA,NA,6925,28407,31190,31986,9127,35398,79316,109520
"31"," ""20003""",2012,232172,203537,39289,8808,0,15401,27412,NA,NA,8983,25123,7984,1335,38938,NA,NA,2892,1830,NA,NA,16561,NA,NA,3469,NA,NA,7342,28635,48097,34106,7984,28747,90910,112628
"32"," ""20003""",2013,242103,212684,42901,12349,0,15385,26811,17295,9516,10432,26373,8200,1960,38569,NA,NA,2808,1781,NA,NA,16828,NA,NA,3258,NA,NA,6809,29419,55251,36805,8200,28771,97447,115237
"33"," ""20003""",2014,256420,225666,47402,11321,0,15353,31889,10478,21411,11638,26085,8582,2093,41763,8442,33321,2795,1766,NA,NA,16558,NA,NA,3330,NA,NA,6857,30753,58723,37723,8582,33982,105965,119701
"34"," ""20003""",2015,239478,208776,5793,4265,0,13407,48888,11993,36895,13678,27207,7730,NA,42801,8390,34411,13524,1935,NA,NA,18584,NA,NA,3436,NA,NA,NA,30702,10058,40885,7730,NA,72353,136423
"35"," ""20003""",2016,277283,247182,56834,3288,0,19451,25805,9168,16637,11027,28661,9943,NA,48006,10437,37569,12256,2216,NA,NA,19048,750,18298,3254,NA,NA,NA,30101,60123,39688,9943,NA,105379,141803
"36"," ""20003""",2017,253268,222261,33974,3130,183,22949,18329,5462,12867,10364,28823,7685,2327,47027,8682,38345,15553,2826,NA,NA,20177,594,19584,3268,NA,NA,8472,31007,37104,39187,7868,20656,78382,143879
"37"," ""20003""",2018,252168,220895,40520,3516,190,15563,17788,4341,13446,10636,30338,11038,2137,50168,NA,NA,4025,2860,NA,NA,22002,790,21212,4327,NA,NA,8650,31272,44035,40974,11228,19924,77386,143509
"38"," ""20003""",2019,270403,237734,43059,2964,189,18236,15964,3988,11976,11431,31467,12750,2221,NA,NA,48418,NA,3492,NA,NA,23039,831,22208,5120,NA,NA,9433,32668,46023,42898,12939,18184,80222,157512
"39"," ""20005""",2001,456641,410538,22548,1149,1932,10378,199491,117182,82309,5208,23766,NA,3639,45917,11736,34181,NA,7201,NA,NA,45766,NA,NA,7839,781,7058,9265,46103,23698,28974,NA,203130,233566,176973
"40"," ""20005""",2002,413995,365892,14828,1576,1747,10659,152681,NA,NA,5307,24297,NA,3964,50858,14285,36573,NA,9159,NA,NA,47108,NA,NA,8524,754,7770,10234,48102,16404,29604,NA,156646,179744,186148
"41"," ""20005""",2003,388411,339064,10716,1526,1432,11415,127115,NA,NA,5868,26457,NA,3732,50392,13764,36627,NA,9583,NA,NA,48501,NA,NA,8801,733,8068,9986,49347,12242,32325,NA,130848,150773,188291
"42"," ""20005""",2004,416904,365848,31037,2292,1562,12688,120075,NA,NA,6104,29331,NA,5036,49899,11650,38249,NA,9981,NA,NA,47232,NA,NA,9941,711,9230,11117,51056,33329,35435,NA,125111,166092,199756
