id,region,year,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,manufacturer
0,nashville,1949,excellent,6 cylinders,gas,115148,clean,manual,rwd,mid-size,convertible,orange,,27587,bmw
1,state college,2013,fair,8 cylinders,gas,172038,clean,automatic,rwd,full-size,sedan,silver,pa,4724,toyota
2,wichita,1998,good,6 cylinders,gas,152492,clean,automatic,fwd,full-size,SUV,silver,ks,10931,ford
3,albany,2014,excellent,4 cylinders,gas,104118,clean,manual,fwd,mid-size,SUV,blue,ny,16553,ford
4,redding,2005,excellent,6 cylinders,gas,144554,clean,manual,fwd,mid-size,sedan,red,ca,5158,ford
5,florence / muscle shoals,2013,good,4 cylinders,gas,133208,clean,automatic,4wd,full-size,SUV,black,al,7941,nissan
6,oregon coast,2014,excellent,6 cylinders,gas,131104,clean,automatic,fwd,mid-size,sedan,blue,or,5860,volkswagen
7,medford-ashland,2006,good,6 cylinders,gas,158776,clean,manual,fwd,mid-size,coupe,red,or,2799,bmw
8,richmond,2013,excellent,6 cylinders,gas,127167,clean,manual,fwd,full-size,sedan,black,va,6036,bmw
9,buffalo,2012,good,4 cylinders,gas,150319,rebuilt,automatic,fwd,mid-size,sedan,orange,ny,7341,volkswagen
10,billings,2011,excellent,6 cylinders,,101850,clean,manual,4wd,full-size,SUV,black,mt,10880,bmw
11,bakersfield,2010,excellent,6 cylinders,gas,95511,rebuilt,automatic,fwd,mid-size,sedan,blue,ca,5757,ford
12,central NJ,2018,excellent,4 cylinders,gas,55662,rebuilt,automatic,fwd,mid-size,coupe,silver,nj,11039,ford
13,albany,2010,excellent,6 cylinders,gas,81936,,automatic,fwd,mid-size,,white,ny,8760,lexus
14,worcester / central MA,2005,excellent,6 cylinders,gas,107934,clean,automatic,fwd,mid-size,SUV,black,ma,17244,ford
15,eau claire,1999,excellent,6 cylinders,gas,54481,parts only,automatic,4wd,full-size,mini-van,black,wi,3389,nissan
16,wichita,2006,excellent,other,gas,152762,clean,automatic,fwd,full-size,sedan,silver,ks,3963,buick
17,greenville / upstate,2012,like new,4 cylinders,,129491,clean,automatic,4wd,full-size,SUV,black,sc,36783,ford
18,yakima,1995,fair,6 cylinders,,193124,clean,automatic,fwd,mid-size,sedan,white,wa,3289,volkswagen
19,wichita,2013,excellent,4 cylinders,gas,124912,clean,manual,4wd,mid-size,SUV,silver,ks,27556,subaru
20,"washington, DC",1996,fair,8 cylinders,gas,177974,clean,automatic,4wd,full-size,pickup,red,dc,4688,ram
21,palm springs,2008,good,4 cylinders,gas,162412,clean,manual,fwd,mid-size,sedan,red,ca,3907,ford
22,cincinnati,2014,excellent,6 cylinders,gas,83288,clean,automatic,fwd,full-size,SUV,white,oh,20237,ford
23,rockford,2016,excellent,6 cylinders,diesel,147583,rebuilt,manual,4wd,full-size,pickup,white,,37763,ford
24,rochester,2015,like new,4 cylinders,gas,161608,clean,automatic,fwd,full-size,SUV,red,ny,7271,ford
25,lancaster,2012,excellent,6 cylinders,gas,155568,clean,automatic,4wd,mid-size,SUV,blue,pa,11945,bmw
26,redding,2012,excellent,4 cylinders,gas,130992,clean,manual,fwd,mid-size,sedan,black,ca,9235,toyota
27,fort wayne,2012,like new,4 cylinders,gas,9309,rebuilt,automatic,fwd,mid-size,sedan,white,in,15940,dodge
28,toledo,2007,excellent,6 cylinders,gas,158633,clean,automatic,4wd,full-size,truck,black,oh,16337,dodge
29,wilmington,2005,excellent,8 cylinders,gas,209759,clean,automatic,rwd,full-size,truck,black,de,7264,ford
30,"washington, DC",2016,good,4 cylinders,gas,88187,clean,automatic,fwd,sub-compact,coupe,blue,dc,31696,ford
31,huntsville / decatur,2006,excellent,6 cylinders,gas,104876,clean,automatic,rwd,mid-size,sedan,black,al,14750,bmw
32,wilmington,2003,fair,4 cylinders,gas,150511,clean,automatic,fwd,full-size,sedan,red,de,1406,toyota
33,orlando,2009,good,4 cylinders,,106666,clean,automatic,fwd,full-size,sedan,black,fl,6063,volkswagen
34,sarasota-bradenton,1992,good,8 cylinders,gas,64430,clean,manual,rwd,full-size,truck,black,fl,8432,chevrolet
35,las cruces,2013,good,4 cylinders,gas,21293,clean,automatic,fwd,full-size,SUV,blue,nm,8403,toyota
36,mohave county,2012,excellent,4 cylinders,gas,105981,clean,automatic,fwd,mid-size,sedan,blue,az,16079,ford
37,tulsa,2006,excellent,6 cylinders,diesel,141099,clean,manual,4wd,full-size,pickup,silver,ok,23375,ram
38,indianapolis,2015,good,8 cylinders,,95888,clean,automatic,4wd,full-size,truck,white,in,6655,chevrolet
39,fresno / madera,2012,fair,6 cylinders,gas,152452,clean,manual,fwd,compact,sedan,blue,ca,7142,volkswagen
40,norfolk / hampton roads,2013,good,4 cylinders,gas,174294,clean,automatic,fwd,full-size,sedan,black,va,6411,ford
41,duluth / superior,2015,excellent,6 cylinders,gas,55954,rebuilt,manual,4wd,full-size,SUV,black,mn,20514,bmw
42,san antonio,1988,fair,8 cylinders,gas,147310,rebuilt,manual,4wd,full-size,pickup,green,,6205,ford
43,western massachusetts,2013,excellent,6 cylinders,gas,103601,clean,automatic,rwd,full-size,truck,black,ma,17873,ford
44,rochester,2008,fair,6 cylinders,gas,-1,clean,automatic,4wd,full-size,SUV,black,ny,5077,jeep
45,flagstaff / sedona,2013,excellent,8 cylinders,gas,56930,clean,automatic,4wd,full-size,truck,black,,46743,chevrolet
46,"washington, DC",2004,fair,8 cylinders,diesel,150525,clean,automatic,rwd,full-size,truck,orange,dc,1027,ford
47,"washington, DC",2014,excellent,4 cylinders,gas,205226,clean,automatic,fwd,mid-size,sedan,black,dc,11054,honda
48,colorado springs,2012,like new,4 cylinders,gas,124806,clean,automatic,fwd,compact,sedan,silver,co,8435,nissan
49,dayton / springfield,2009,excellent,6 cylinders,gas,50287,clean,automatic,fwd,mid-size,SUV,silver,oh,19194,bmw
50,delaware,2015,good,4 cylinders,gas,102767,clean,manual,fwd,mid-size,coupe,black,de,8657,hyundai
51,central NJ,2001,good,4 cylinders,gas,173122,clean,automatic,fwd,full-size,van,black,nj,10228,honda
52,las vegas,2013,excellent,6 cylinders,gas,101274,rebuilt,automatic,fwd,mid-size,coupe,black,,16321,bmw
53,las vegas,2006,excellent,4 cylinders,gas,136191,clean,automatic,fwd,full-size,sedan,black,nv,4486,bmw
54,central NJ,1999,good,6 cylinders,gas,191476,clean,manual,fwd,mid-size,coupe,black,nj,5293,chrysler
55,greenville / upstate,1996,good,8 cylinders,diesel,92613,clean,automatic,4wd,full-size,truck,white,sc,23954,ford
56,eastern panhandle,2015,excellent,4 cylinders,gas,328676,rebuilt,automatic,fwd,mid-size,sedan,black,wv,6234,toyota
57,nashville,2016,excellent,6 cylinders,gas,133560,rebuilt,automatic,4wd,full-size,SUV,black,tn,8938,ford
58,eau claire,2011,excellent,8 cylinders,diesel,97739,clean,automatic,4wd,full-size,SUV,black,wi,13755,gmc
59,santa maria,1988,good,6 cylinders,gas,135072,clean,manual,fwd,full-size,SUV,blue,ca,3718,chevrolet
60,norfolk / hampton roads,1971,good,8 cylinders,gas,71430,clean,automatic,rwd,full-size,truck,white,va,19077,ford
61,detroit metro,2003,fair,4 cylinders,gas,229610,clean,manual,fwd,compact,sedan,black,mi,4364,mazda
62,knoxville,1994,excellent,8 cylinders,gas,67264,clean,automatic,rwd,full-size,sedan,white,tn,16145,bmw
63,richmond,2015,excellent,4 cylinders,gas,151032,clean,automatic,fwd,mid-size,sedan,silver,va,9561,audi
64,detroit metro,1998,fair,8 cylinders,gas,192165,clean,automatic,rwd,full-size,sedan,brown,mi,6507,ford
65,rhode island,2009,excellent,4 cylinders,gas,76724,clean,automatic,4wd,mid-size,SUV,green,ri,8359,buick
66,harrisonburg,2007,fair,4 cylinders,,327467,clean,automatic,fwd,mid-size,SUV,silver,va,6207,ford
67,"washington, DC",2008,excellent,6 cylinders,diesel,111940,clean,other,fwd,full-size,truck,red,dc,8216,ram
68,reading,2013,excellent,4 cylinders,gas,166614,clean,automatic,fwd,full-size,sedan,blue,pa,9778,lincoln
69,colorado springs,1999,good,8 cylinders,gas,160687,clean,automatic,4wd,full-size,SUV,black,co,13087,chevrolet
70,rockford,2016,excellent,4 cylinders,gas,118734,clean,automatic,fwd,mid-size,SUV,blue,il,26359,subaru
71,northern michigan,2013,good,10 cylinders,gas,150309,clean,automatic,rwd,full-size,truck,black,mi,11384,ford
72,bend,2002,good,4 cylinders,gas,198472,clean,automatic,fwd,compact,hatchback,blue,or,4081,honda
73,pueblo,2013,excellent,4 cylinders,gas,137182,clean,automatic,fwd,compact,hatchback,silver,co,7564,kia
74,houston,1989,excellent,8 cylinders,gas,109376,clean,manual,4wd,full-size,SUV,white,tx,7366,jeep
75,albany,2012,good,8 cylinders,gas,126666,clean,automatic,4wd,full-size,pickup,blue,,17869,ford
76,killeen / temple / ft hood,2016,like new,6 cylinders,gas,61659,parts only,automatic,4wd,mid-size,SUV,blue,tx,39321,jeep
77,stockton,2008,excellent,4 cylinders,gas,121863,clean,automatic,fwd,full-size,sedan,black,ca,5114,bmw
78,cleveland,2012,excellent,6 cylinders,gas,114965,clean,automatic,rwd,mid-size,coupe,black,oh,12874,bmw
